task_id,agent,difficulty,category,pass_at_1,pass_at_5,passing_samples,total_samples,latency_median_ms,latency_mean_ms,latency_p95_ms,latency_std_ms,stability_score,exact_match_rate,unique_outputs,tags
CODEGEN-005,claude_code,medium,codegen-core,1.0,1.0,3,3,5194.84,5254.52,5387.32,109.95,0.4206,0.6667,2,"stack,string,medium"
CODEGEN-005,codex_cli,medium,codegen-core,1.0,1.0,3,3,3825.42,3808.38,4474.68,610.02,0.0,0.3333,3,"stack,string,medium"
CODEGEN-005,gemini_cli,medium,codegen-core,1.0,1.0,3,3,9895.34,9988.57,10284.53,247.83,0.0,0.3333,3,"stack,string,medium"
CODEGEN-E001,claude_code,medium,codegen-core,1.0,1.0,3,3,7117.77,7545.37,8475.73,770.11,0.0,0.3333,3,"string,math,edge-case"
CODEGEN-E001,codex_cli,medium,codegen-core,1.0,1.0,3,3,5557.79,5716.27,6015.07,247.57,0.0,0.3333,3,"string,math,edge-case"
CODEGEN-E001,gemini_cli,medium,codegen-core,1.0,1.0,3,3,49510.3,53236.4,61551.9,6884.93,0.0,0.3333,3,"string,math,edge-case"
CODEGEN-E002,claude_code,medium,codegen-core,1.0,1.0,3,3,7077.84,6723.79,7196.95,596.74,1.0,1.0,1,"string,two-pointer"
CODEGEN-E002,codex_cli,medium,codegen-core,1.0,1.0,3,3,4199.04,4918.34,6566.23,1364.91,1.0,1.0,1,"string,two-pointer"
CODEGEN-E002,gemini_cli,medium,codegen-core,1.0,1.0,3,3,12249.25,13170.17,15509.0,1941.86,0.0,0.3333,3,"string,two-pointer"
CODEGEN-E003,claude_code,medium,codegen-core,1.0,1.0,3,3,5548.99,5441.04,5566.48,166.6,1.0,1.0,1,"math,recursion"
CODEGEN-E003,codex_cli,medium,codegen-core,1.0,1.0,3,3,3610.04,3694.4,3955.05,218.0,0.4206,0.6667,2,"math,recursion"
CODEGEN-E003,gemini_cli,medium,codegen-core,1.0,1.0,3,3,13271.56,13258.39,13995.36,672.85,0.0,0.3333,3,"math,recursion"
CODEGEN-H001,claude_code,hard,codegen-core,1.0,1.0,3,3,6517.48,6195.65,6578.4,503.76,0.4206,0.6667,2,"dynamic-programming,binary-search,hard"
CODEGEN-H001,codex_cli,hard,codegen-core,1.0,1.0,3,3,3511.93,3653.03,4412.95,652.28,0.0,0.3333,3,"dynamic-programming,binary-search,hard"
CODEGEN-H001,gemini_cli,hard,codegen-core,1.0,1.0,3,3,12618.82,12756.86,13437.19,581.63,0.0,0.3333,3,"dynamic-programming,binary-search,hard"
CODEGEN-H002,claude_code,hard,codegen-core,1.0,1.0,3,3,5109.35,5050.19,5285.81,236.27,1.0,1.0,1,"recursion,hard"
CODEGEN-H002,codex_cli,hard,codegen-core,1.0,1.0,3,3,4269.18,3931.59,4334.94,529.93,0.0,0.3333,3,"recursion,hard"
CODEGEN-H002,gemini_cli,hard,codegen-core,1.0,1.0,3,3,10843.31,10758.46,10946.31,206.27,0.0,0.3333,3,"recursion,hard"
CODEGEN-H003,claude_code,hard,codegen-core,1.0,1.0,3,3,5819.65,5832.55,5936.35,90.53,0.4206,0.6667,2,"backtracking,hard"
CODEGEN-H003,codex_cli,hard,codegen-core,1.0,1.0,3,3,4895.46,4760.23,5087.16,352.74,0.0,0.3333,3,"backtracking,hard"
CODEGEN-H003,gemini_cli,hard,codegen-core,1.0,1.0,3,3,34568.68,48126.98,74647.84,21958.54,0.0,0.3333,3,"backtracking,hard"
CODEGEN-H004,claude_code,hard,codegen-core,1.0,1.0,3,3,6515.05,6381.37,6692.54,338.22,1.0,1.0,1,"dynamic-programming,hard"
CODEGEN-H004,codex_cli,hard,codegen-core,1.0,1.0,3,3,3510.51,3785.34,4541.28,629.29,1.0,1.0,1,"dynamic-programming,hard"
CODEGEN-H004,gemini_cli,hard,codegen-core,1.0,1.0,3,3,15361.2,14257.63,15865.92,1970.57,0.0,0.3333,3,"dynamic-programming,hard"
CODEGEN-H005,claude_code,hard,codegen-core,1.0,1.0,3,3,7736.19,8707.64,10567.99,1540.87,0.4206,0.6667,2,"binary-search,hard"
CODEGEN-H005,codex_cli,hard,codegen-core,1.0,1.0,3,3,6469.71,6515.88,7047.68,468.93,0.4206,0.6667,2,"binary-search,hard"
CODEGEN-H005,gemini_cli,hard,codegen-core,1.0,1.0,3,3,55356.34,50186.38,57742.71,9249.89,0.0,0.3333,3,"binary-search,hard"
CODEGEN-M001,claude_code,medium,codegen-core,1.0,1.0,3,3,6805.62,6558.37,6828.65,367.9,1.0,1.0,1,"array,matrix"
CODEGEN-M001,codex_cli,medium,codegen-core,1.0,1.0,3,3,4688.64,5025.95,5767.35,613.75,0.4206,0.6667,2,"array,matrix"
CODEGEN-M001,gemini_cli,medium,codegen-core,1.0,1.0,3,3,17186.08,17226.57,19440.05,1995.46,0.0,0.3333,3,"array,matrix"
CODEGEN-M002,claude_code,medium,codegen-core,1.0,1.0,3,3,5537.05,5565.88,5825.76,227.53,1.0,1.0,1,"dynamic-programming,array"
CODEGEN-M002,codex_cli,medium,codegen-core,1.0,1.0,3,3,4171.25,3772.72,4580.99,904.82,0.0,0.3333,3,"dynamic-programming,array"
CODEGEN-M002,gemini_cli,medium,codegen-core,1.0,1.0,3,3,11929.3,13115.66,15862.21,2275.31,0.4206,0.6667,2,"dynamic-programming,array"
CODEGEN-M003,claude_code,medium,codegen-core,1.0,1.0,3,3,7103.79,6890.44,8309.61,1363.61,1.0,1.0,1,"matrix,in-place"
CODEGEN-M003,codex_cli,medium,codegen-core,1.0,1.0,3,3,3945.69,4138.81,4983.67,718.25,0.4206,0.6667,2,"matrix,in-place"
CODEGEN-M003,gemini_cli,medium,codegen-core,1.0,1.0,3,3,11879.81,12265.56,13803.92,1302.03,0.4206,0.6667,2,"matrix,in-place"
EASY-001,claude_code,easy,codegen-core,1.0,1.0,3,3,4550.58,4534.39,4638.73,100.46,1.0,1.0,1,"basic,list"
EASY-001,codex_cli,easy,codegen-core,1.0,1.0,3,3,1992.96,2109.56,2364.56,211.08,0.4206,0.6667,2,"basic,list"
EASY-001,gemini_cli,easy,codegen-core,1.0,1.0,3,3,9527.89,9587.27,9966.14,327.57,0.4206,0.6667,2,"basic,list"
EASY-002,claude_code,easy,codegen-core,1.0,1.0,3,3,4916.94,5113.8,5504.6,323.51,1.0,1.0,1,"basic,list"
EASY-002,codex_cli,easy,codegen-core,1.0,1.0,3,3,2682.19,2721.04,2960.54,206.77,0.4206,0.6667,2,"basic,list"
EASY-002,gemini_cli,easy,codegen-core,1.0,1.0,3,3,10459.4,10580.5,11537.66,834.3,0.4206,0.6667,2,"basic,list"
EASY-003,claude_code,easy,codegen-core,1.0,1.0,3,3,5875.58,7041.91,9503.48,2037.24,1.0,1.0,1,"basic,counting"
EASY-003,codex_cli,easy,codegen-core,1.0,1.0,3,3,2429.94,2588.13,3025.37,364.05,0.4206,0.6667,2,"basic,counting"
EASY-003,gemini_cli,easy,codegen-core,1.0,1.0,3,3,11036.94,11086.2,11801.73,634.45,0.4206,0.6667,2,"basic,counting"
EASY-004,claude_code,easy,codegen-core,1.0,1.0,3,3,4637.12,4677.81,4767.95,74.62,0.4206,0.6667,2,"string,validation"
EASY-004,codex_cli,easy,codegen-core,1.0,1.0,3,3,3825.46,3909.3,5128.88,1081.42,1.0,1.0,1,"string,validation"
EASY-004,gemini_cli,easy,codegen-core,1.0,1.0,3,3,11592.13,11914.52,12889.97,815.11,0.4206,0.6667,2,"string,validation"
EASY-005,claude_code,easy,codegen-core,1.0,1.0,3,3,5145.46,5107.12,5295.8,185.35,1.0,1.0,1,"list,dedup"
EASY-005,codex_cli,easy,codegen-core,1.0,1.0,3,3,2638.67,2652.86,2684.86,26.5,1.0,1.0,1,"list,dedup"
EASY-005,gemini_cli,easy,codegen-core,1.0,1.0,3,3,12730.26,12540.82,13126.7,606.64,0.4206,0.6667,2,"list,dedup"
EASY-006,claude_code,easy,codegen-core,1.0,1.0,3,3,4812.37,4869.36,5072.07,170.63,1.0,1.0,1,string
EASY-006,codex_cli,easy,codegen-core,0.0,0.0,0,3,3868.23,3483.3,3979.6,633.89,1.0,1.0,1,string
EASY-006,gemini_cli,easy,codegen-core,1.0,1.0,3,3,10584.11,10250.45,10611.95,493.9,1.0,1.0,1,string
EASY-007,claude_code,easy,codegen-core,1.0,1.0,3,3,5782.74,6516.18,8151.45,1353.93,1.0,1.0,1,"math,recursion"
EASY-007,codex_cli,easy,codegen-core,1.0,1.0,3,3,2900.35,2840.5,3258.59,400.54,1.0,1.0,1,"math,recursion"
EASY-007,gemini_cli,easy,codegen-core,1.0,1.0,3,3,10946.6,10959.45,11517.9,502.64,0.0,0.3333,3,"math,recursion"
EASY-008,claude_code,easy,codegen-core,1.0,1.0,3,3,5142.0,5221.69,5686.7,400.55,1.0,1.0,1,"list,set"
EASY-008,codex_cli,easy,codegen-core,1.0,1.0,3,3,3163.03,3181.25,3438.81,228.24,0.4206,0.6667,2,"list,set"
EASY-008,gemini_cli,easy,codegen-core,1.0,1.0,3,3,12629.93,12722.81,13364.54,556.59,1.0,1.0,1,"list,set"
EASY-009,claude_code,easy,codegen-core,1.0,1.0,3,3,5407.63,5221.24,5451.94,299.08,1.0,1.0,1,string
EASY-009,codex_cli,easy,codegen-core,1.0,1.0,3,3,2940.08,3017.28,3628.22,532.55,1.0,1.0,1,string
EASY-009,gemini_cli,easy,codegen-core,1.0,1.0,3,3,10107.29,12016.58,15279.13,2713.32,1.0,1.0,1,string
EASY-010,claude_code,easy,codegen-core,1.0,1.0,3,3,5898.57,6826.97,8817.06,1647.13,1.0,1.0,1,math
EASY-010,codex_cli,easy,codegen-core,1.0,1.0,3,3,3831.44,3721.94,4098.24,384.04,0.4206,0.6667,2,math
EASY-010,gemini_cli,easy,codegen-core,1.0,1.0,3,3,11774.36,13495.49,16799.74,2736.67,0.0,0.3333,3,math
EASY-011,claude_code,easy,codegen-core,1.0,1.0,3,3,5985.2,6236.27,6748.28,423.77,1.0,1.0,1,"list,sorting"
EASY-011,codex_cli,easy,codegen-core,1.0,1.0,3,3,2741.92,4137.21,6684.83,2112.72,0.4206,0.6667,2,"list,sorting"
EASY-011,gemini_cli,easy,codegen-core,1.0,1.0,3,3,13172.92,14739.06,19075.09,3610.46,0.0,0.3333,3,"list,sorting"
EASY-012,claude_code,easy,codegen-core,1.0,1.0,3,3,6470.05,6494.21,7587.19,984.05,1.0,1.0,1,string
EASY-012,codex_cli,easy,codegen-core,1.0,1.0,3,3,2501.69,3036.34,3951.93,761.37,0.4206,0.6667,2,string
EASY-012,gemini_cli,easy,codegen-core,1.0,1.0,3,3,11403.15,11452.82,11661.42,176.99,0.4206,0.6667,2,string
EASY-013,claude_code,easy,codegen-core,1.0,1.0,3,3,5418.36,5623.13,5984.36,299.96,0.4206,0.6667,2,"math,recursion"
EASY-013,codex_cli,easy,codegen-core,1.0,1.0,3,3,4137.09,4724.14,6147.66,1180.43,0.0,0.3333,3,"math,recursion"
EASY-013,gemini_cli,easy,codegen-core,1.0,1.0,3,3,10499.31,11992.35,14668.9,2221.09,0.0,0.3333,3,"math,recursion"
EASY-014,claude_code,easy,codegen-core,1.0,1.0,3,3,5143.03,5164.83,5412.53,218.34,1.0,1.0,1,list
EASY-014,codex_cli,easy,codegen-core,0,0,0,0,1539.82,1525.22,1589.4,63.7,0,0,0,list
EASY-014,gemini_cli,easy,codegen-core,1.0,1.0,3,3,10102.35,10411.89,11119.19,585.82,0.0,0.3333,3,list
EASY-015,claude_code,easy,codegen-core,1.0,1.0,3,3,5263.04,5118.38,5263.37,204.83,1.0,1.0,1,"set,list"
EASY-015,codex_cli,easy,codegen-core,0,0,0,0,1583.82,1623.89,1857.8,201.48,0,0,0,"set,list"
EASY-015,gemini_cli,easy,codegen-core,1.0,1.0,3,3,9788.58,11127.5,13630.26,2074.1,0.0,0.3333,3,"set,list"
EASY-016,claude_code,easy,codegen-core,1.0,1.0,3,3,4918.2,4897.52,5063.03,157.41,1.0,1.0,1,math
EASY-016,codex_cli,easy,codegen-core,0,0,0,0,1544.32,1745.21,2180.08,359.95,0,0,0,math
EASY-016,gemini_cli,easy,codegen-core,1.0,1.0,3,3,8933.2,10762.58,14254.22,2892.21,1.0,1.0,1,math
EASY-017,claude_code,easy,codegen-core,1.0,1.0,3,3,4778.86,4800.37,4872.36,60.43,0.4206,0.6667,2,"math,recursion"
EASY-017,codex_cli,easy,codegen-core,0,0,0,0,2158.11,1966.36,2193.15,299.14,0,0,0,"math,recursion"
EASY-017,gemini_cli,easy,codegen-core,1.0,1.0,3,3,10768.45,11890.31,14736.77,2363.26,0.0,0.3333,3,"math,recursion"
HARD-001,claude_code,hard,codegen-core,1.0,1.0,3,3,5998.08,6039.89,6230.26,162.15,0.4206,0.6667,2,"sliding-window,hash-table"
HARD-001,codex_cli,hard,codegen-core,1.0,1.0,3,3,3947.54,3790.75,4265.21,492.86,0.4206,0.6667,2,"sliding-window,hash-table"
HARD-001,gemini_cli,hard,codegen-core,1.0,1.0,3,3,11433.86,15305.12,22534.44,5991.26,0.0,0.3333,3,"sliding-window,hash-table"
HARD-002,claude_code,hard,codegen-core,1.0,1.0,3,3,6305.86,6284.85,6330.18,50.05,1.0,1.0,1,"tree,serialization"
HARD-002,codex_cli,hard,codegen-core,1.0,1.0,3,3,5112.25,5110.65,7099.76,1805.06,0.0,0.3333,3,"tree,serialization"
HARD-002,gemini_cli,hard,codegen-core,1.0,1.0,3,3,13916.22,13076.79,14252.56,1459.39,0.0,0.3333,3,"tree,serialization"
HARD-003,claude_code,hard,codegen-core,1.0,1.0,3,3,7625.98,7396.08,7750.98,427.12,0.4206,0.6667,2,"sliding-window,hash-table"
HARD-003,codex_cli,hard,codegen-core,1.0,1.0,3,3,5523.25,5498.83,5556.84,62.8,0.0,0.3333,3,"sliding-window,hash-table"
HARD-003,gemini_cli,hard,codegen-core,0.33333333333333326,1.0,1,3,40819.75,38889.96,48096.0,9067.92,0.0,0.3333,3,"sliding-window,hash-table"
HARD-004,claude_code,hard,codegen-core,1.0,1.0,3,3,6889.57,6902.71,7141.18,212.38,0.4206,0.6667,2,"dynamic-programming,recursion"
HARD-004,codex_cli,hard,codegen-core,1.0,1.0,3,3,6128.87,6893.57,8627.5,1435.94,1.0,1.0,1,"dynamic-programming,recursion"
HARD-004,gemini_cli,hard,codegen-core,1.0,1.0,3,3,24183.88,21514.55,27898.68,6902.47,0.0,0.3333,3,"dynamic-programming,recursion"
HARD-005,claude_code,hard,codegen-core,1.0,1.0,3,3,6286.05,6234.19,6596.04,346.69,0.4206,0.6667,2,"two-pointer,dynamic-programming"
HARD-005,codex_cli,hard,codegen-core,1.0,1.0,3,3,4813.86,4467.3,4893.18,553.59,1.0,1.0,1,"two-pointer,dynamic-programming"
HARD-005,gemini_cli,hard,codegen-core,1.0,1.0,3,3,13173.87,13121.16,14079.28,886.74,0.0,0.3333,3,"two-pointer,dynamic-programming"
HARD-006,claude_code,hard,codegen-core,1.0,1.0,3,3,6028.27,6062.98,6170.08,89.57,0.4206,0.6667,2,"dynamic-programming,string"
HARD-006,codex_cli,hard,codegen-core,1.0,1.0,3,3,4738.22,4965.67,5504.7,446.75,0.0,0.3333,3,"dynamic-programming,string"
HARD-006,gemini_cli,hard,codegen-core,0.0,0.0,0,3,49416.58,52550.54,60864.08,6911.95,0.0,0.3333,3,"dynamic-programming,string"
HARD-007,claude_code,hard,codegen-core,1.0,1.0,3,3,6791.31,6726.34,6903.62,187.18,1.0,1.0,1,dynamic-programming
HARD-007,codex_cli,hard,codegen-core,1.0,1.0,3,3,4690.65,4834.06,5165.04,274.18,0.4206,0.6667,2,dynamic-programming
HARD-007,gemini_cli,hard,codegen-core,1.0,1.0,3,3,28014.73,30545.17,39021.51,7115.07,0.0,0.3333,3,dynamic-programming
HARD-008,claude_code,hard,codegen-core,1.0,1.0,3,3,5669.62,5701.67,5845.84,122.72,1.0,1.0,1,"dynamic-programming,string"
HARD-008,codex_cli,hard,codegen-core,1.0,1.0,3,3,3817.38,3748.35,4334.58,555.91,0.0,0.3333,3,"dynamic-programming,string"
HARD-008,gemini_cli,hard,codegen-core,1.0,1.0,3,3,13381.02,12861.9,14054.19,1299.42,0.0,0.3333,3,"dynamic-programming,string"
HARD-009,claude_code,hard,codegen-core,0.33333333333333326,1.0,1,3,9411.26,9438.27,9887.57,399.49,0.0,0.3333,3,"hash-table,string,trie"
HARD-009,codex_cli,hard,codegen-core,0.0,0.0,0,3,1517.78,2345.89,3826.93,1229.13,1.0,1.0,1,"hash-table,string,trie"
HARD-009,gemini_cli,hard,codegen-core,0.6666666666666666,1.0,2,3,26027.24,30122.69,48168.77,15347.02,0.0,0.3333,3,"hash-table,string,trie"
HARD-010,claude_code,hard,codegen-core,1.0,1.0,3,3,6113.11,6071.32,6120.09,64.66,1.0,1.0,1,"dynamic-programming,string"
HARD-010,codex_cli,hard,codegen-core,1.0,1.0,3,3,5605.11,5585.71,5961.21,347.1,0.0,0.3333,3,"dynamic-programming,string"
HARD-010,gemini_cli,hard,codegen-core,1.0,1.0,3,3,10332.18,10363.44,10445.47,68.17,0.0,0.3333,3,"dynamic-programming,string"
HARD-011,claude_code,hard,codegen-core,1.0,1.0,3,3,5424.72,5385.1,5680.14,281.64,1.0,1.0,1,sliding-window
HARD-011,codex_cli,hard,codegen-core,1.0,1.0,3,3,3567.64,3617.38,3838.38,188.02,0.4206,0.6667,2,sliding-window
HARD-011,gemini_cli,hard,codegen-core,1.0,1.0,3,3,11074.39,11097.58,11292.63,170.38,0.0,0.3333,3,sliding-window
HARD-012,claude_code,hard,codegen-core,0.6666666666666666,1.0,2,3,6424.77,6541.65,6831.19,240.22,0.4206,0.6667,2,"dfs,bfs,matrix"
HARD-012,codex_cli,hard,codegen-core,0.33333333333333326,1.0,1,3,5468.55,5093.12,5571.76,613.81,0.0,0.3333,3,"dfs,bfs,matrix"
HARD-012,gemini_cli,hard,codegen-core,1.0,1.0,3,3,12701.64,12692.91,13800.81,1007.9,0.4206,0.6667,2,"dfs,bfs,matrix"
HARD-013,claude_code,hard,codegen-core,1.0,1.0,3,3,6749.12,6744.98,6849.81,96.47,0.0,0.3333,3,"math,bit-manipulation"
HARD-013,codex_cli,hard,codegen-core,1.0,1.0,3,3,6007.76,6140.6,7157.89,885.73,0.0,0.3333,3,"math,bit-manipulation"
HARD-013,gemini_cli,hard,codegen-core,1.0,1.0,3,3,35790.91,40099.44,49439.18,7730.74,0.0,0.3333,3,"math,bit-manipulation"
HARD-014,claude_code,hard,codegen-core,1.0,1.0,3,3,6029.58,6052.54,6333.1,247.77,1.0,1.0,1,"stack,monotonic-stack"
HARD-014,codex_cli,hard,codegen-core,1.0,1.0,3,3,4048.94,4392.8,5335.71,784.86,0.0,0.3333,3,"stack,monotonic-stack"
HARD-014,gemini_cli,hard,codegen-core,1.0,1.0,3,3,13152.53,15150.61,20175.88,4171.14,0.0,0.3333,3,"stack,monotonic-stack"
HARD-015,claude_code,hard,codegen-core,1.0,1.0,3,3,5595.11,5703.27,6042.81,284.18,1.0,1.0,1,"sorting,heap,intervals"
HARD-015,codex_cli,hard,codegen-core,1.0,1.0,3,3,4510.67,4704.99,5572.75,738.44,0.0,0.3333,3,"sorting,heap,intervals"
HARD-015,gemini_cli,hard,codegen-core,0.6666666666666666,1.0,2,3,12011.08,19478.4,33082.13,11282.33,0.0,0.3333,3,"sorting,heap,intervals"
HARD-016,claude_code,hard,codegen-core,1.0,1.0,3,3,7325.57,7317.73,7658.76,311.93,0.0,0.3333,3,"stack,parsing"
HARD-016,codex_cli,hard,codegen-core,0,0,0,0,1566.75,1686.21,1911.35,186.54,0,0,0,"stack,parsing"
HARD-016,gemini_cli,hard,codegen-core,1.0,1.0,2,2,84274.94,83554.54,116454.28,30080.31,0.0,0.5,2,"stack,parsing"
HARD-017,claude_code,hard,codegen-core,1.0,1.0,3,3,5882.47,6070.25,6454.26,317.83,1.0,1.0,1,"stack,dynamic-programming"
HARD-017,codex_cli,hard,codegen-core,0,0,0,0,1948.54,1947.63,2433.29,440.89,0,0,0,"stack,dynamic-programming"
HARD-017,gemini_cli,hard,codegen-core,1.0,1.0,3,3,10877.92,14359.35,20703.37,5261.4,0.0,0.3333,3,"stack,dynamic-programming"
HARD-018,claude_code,hard,codegen-core,1.0,1.0,3,3,7369.01,7307.04,8122.0,760.3,1.0,1.0,1,"matrix,binary-search"
HARD-018,codex_cli,hard,codegen-core,0,0,0,0,1539.31,1642.45,1896.54,210.79,0,0,0,"matrix,binary-search"
HARD-018,gemini_cli,hard,codegen-core,1.0,1.0,3,3,13506.03,13599.54,14375.14,677.19,0.0,0.3333,3,"matrix,binary-search"
HARD-019,claude_code,hard,codegen-core,1.0,1.0,3,3,7679.55,7701.55,8052.6,311.87,1.0,1.0,1,"merge-sort,divide-conquer"
HARD-019,codex_cli,hard,codegen-core,0,0,0,0,1638.25,1718.98,1923.3,169.63,0,0,0,"merge-sort,divide-conquer"
HARD-019,gemini_cli,hard,codegen-core,1.0,1.0,3,3,17352.41,17110.01,20977.25,3589.49,0.0,0.3333,3,"merge-sort,divide-conquer"
HARD-020,claude_code,hard,codegen-core,1.0,1.0,3,3,7323.95,7362.27,7430.97,57.01,0.4206,0.6667,2,"bfs,matrix"
HARD-020,codex_cli,hard,codegen-core,0,0,0,0,1544.99,1513.09,1585.69,79.27,0,0,0,"bfs,matrix"
HARD-020,gemini_cli,hard,codegen-core,0.0,0.0,0,3,11891.51,11787.27,12853.13,1002.79,0.0,0.3333,3,"bfs,matrix"
HARD-021,claude_code,hard,codegen-core,1.0,1.0,3,3,6612.3,6566.99,6911.88,328.84,0.4206,0.6667,2,"heap,binary-search"
HARD-021,codex_cli,hard,codegen-core,0,0,0,0,1542.63,1644.63,1820.81,146.44,0,0,0,"heap,binary-search"
HARD-021,gemini_cli,hard,codegen-core,1.0,1.0,3,3,15916.61,22436.11,34910.39,10332.23,0.0,0.3333,3,"heap,binary-search"
HARD-022,claude_code,hard,codegen-core,1.0,1.0,3,3,6226.13,6163.52,6308.57,157.81,1.0,1.0,1,dynamic-programming
HARD-022,codex_cli,hard,codegen-core,0,0,0,0,1544.89,1928.73,2674.03,617.16,0,0,0,dynamic-programming
HARD-022,gemini_cli,hard,codegen-core,1.0,1.0,3,3,25569.61,25354.61,27554.27,2069.44,0.0,0.3333,3,dynamic-programming
HARD-023,claude_code,hard,codegen-core,1.0,1.0,3,3,5602.46,5646.92,5946.22,259.33,0.4206,0.6667,2,dynamic-programming
HARD-023,codex_cli,hard,codegen-core,0,0,0,0,1529.21,1573.59,1728.14,129.96,0,0,0,dynamic-programming
HARD-023,gemini_cli,hard,codegen-core,1.0,1.0,3,3,21688.5,20281.49,26580.53,6241.18,0.0,0.3333,3,dynamic-programming
HARD-024,claude_code,hard,codegen-core,1.0,1.0,3,3,5599.57,5581.83,5617.11,39.68,1.0,1.0,1,dynamic-programming
HARD-024,codex_cli,hard,codegen-core,0,0,0,0,1642.5,1634.14,1707.89,69.81,0,0,0,dynamic-programming
HARD-024,gemini_cli,hard,codegen-core,1.0,1.0,3,3,32842.76,33973.17,42086.89,7047.46,0.0,0.3333,3,dynamic-programming
HARD-025,claude_code,hard,codegen-core,1.0,1.0,3,3,6479.28,6498.05,6637.47,121.26,1.0,1.0,1,"dynamic-programming,greedy"
HARD-025,codex_cli,hard,codegen-core,0,0,0,0,1438.07,1700.86,2150.97,374.29,0,0,0,"dynamic-programming,greedy"
HARD-025,gemini_cli,hard,codegen-core,1.0,1.0,3,3,66929.88,65549.37,68455.7,3226.25,0.0,0.3333,3,"dynamic-programming,greedy"
HARD-026,claude_code,hard,codegen-core,1.0,1.0,3,3,6303.27,6297.59,6429.73,121.75,1.0,1.0,1,hash-set
HARD-026,codex_cli,hard,codegen-core,0,0,0,0,1543.65,1519.91,1582.02,66.05,0,0,0,hash-set
HARD-026,gemini_cli,hard,codegen-core,1.0,1.0,3,3,12927.58,13342.57,16430.01,2685.3,0.0,0.3333,3,hash-set
HARD-027,claude_code,hard,codegen-core,1.0,1.0,3,3,5727.67,5753.05,5802.47,40.92,0.4206,0.6667,2,"backtracking,recursion"
HARD-027,codex_cli,hard,codegen-core,0,0,0,0,1541.71,1557.26,1622.72,55.55,0,0,0,"backtracking,recursion"
HARD-027,gemini_cli,hard,codegen-core,1.0,1.0,3,3,11993.21,12350.15,13325.15,811.45,0.0,0.3333,3,"backtracking,recursion"
HARD-028,claude_code,hard,codegen-core,1.0,1.0,3,3,5927.65,5886.67,6094.46,203.59,0.4206,0.6667,2,dynamic-programming
HARD-028,codex_cli,hard,codegen-core,0,0,0,0,1542.43,1868.27,2513.95,534.52,0,0,0,dynamic-programming
HARD-028,gemini_cli,hard,codegen-core,0.6666666666666666,1.0,2,3,17679.93,17065.16,21547.52,4283.8,0.0,0.3333,3,dynamic-programming
HARD-029,claude_code,hard,codegen-core,1.0,1.0,3,3,6412.53,6805.0,7515.63,589.49,1.0,1.0,1,"dynamic-programming,matrix"
HARD-029,codex_cli,hard,codegen-core,0,0,0,0,1542.89,1502.44,1617.95,121.06,0,0,0,"dynamic-programming,matrix"
HARD-029,gemini_cli,hard,codegen-core,1.0,1.0,3,3,12234.38,14247.92,18770.66,3744.97,0.0,0.3333,3,"dynamic-programming,matrix"
HARD-030,claude_code,hard,codegen-core,1.0,1.0,3,3,5290.09,5333.83,5458.01,103.49,1.0,1.0,1,"greedy,dynamic-programming"
HARD-030,codex_cli,hard,codegen-core,0,0,0,0,1593.88,1593.76,1732.49,125.9,0,0,0,"greedy,dynamic-programming"
HARD-030,gemini_cli,hard,codegen-core,1.0,1.0,3,3,17021.31,17146.17,23102.24,5364.54,0.0,0.3333,3,"greedy,dynamic-programming"
